Vertex 		 Distance from Source
0		0
1		4
2		3
3		9
4		16
5		6
6		7
7		7
8		4
9		1
10		2
11		8
12		4
13		3
14		9
15		16
16		6
17		7
18		7
19		4
20		1
21		2
22		8
23		4
24		3
25		9
26		16
27		6
28		7
29		7
30		4
31		1
32		2
33		8
34		4
35		3
36		9
37		16
38		6
39		7
40		7
41		4
42		1
43		2
44		2147483647
45		2147483647
46		2
47		2147483647
48		2147483647
49		2147483647
50		6
51		7
52		2147483647
53		6
54		5
55		2147483647
56		2147483647
57		2
58		2147483647
59		2147483647
60		2147483647
61		6
62		7
63		2147483647
64		6
65		5
66		2147483647
67		2147483647
68		2
69		2147483647
70		2147483647
71		2147483647
72		6
73		7
74		2147483647
75		6
76		5
77		2147483647
78		2147483647
79		2
80		2147483647
81		2147483647
82		2147483647
83		6
84		7
85		2147483647
86		6
87		5
Execution Time: 0.000197
