Vertex 		 Distance from Source
0		14
1		10
2		6
3		0
4		9
5		6
6		8
7		7
8		4
9		6
10		6
11		14
12		10
13		6
14		9
15		9
16		6
17		8
18		7
19		4
20		6
21		6
22		14
23		10
24		6
25		9
26		9
27		6
28		8
29		7
30		4
31		6
32		6
33		14
34		10
35		6
36		9
37		9
38		6
39		8
40		7
41		4
42		6
43		6
44		2147483647
45		2147483647
46		2
47		2147483647
48		2147483647
49		2147483647
50		6
51		7
52		2147483647
53		6
54		5
55		2147483647
56		2147483647
57		2
58		2147483647
59		2147483647
60		2147483647
61		6
62		7
63		2147483647
64		6
65		5
66		2147483647
67		2147483647
68		2
69		2147483647
70		2147483647
71		2147483647
72		6
73		7
74		2147483647
75		6
76		5
77		2147483647
78		2147483647
79		2
80		2147483647
81		2147483647
82		2147483647
83		6
84		7
85		2147483647
86		6
87		5
Execution Time: 0.000207
